63
5741.0000,4082.0000,5358.7778,1390.5556
5716.0000,3994.0000,5333.4444,1300.2222
5813.0000,4102.0000,5431.6667,1410.5556
8247.0000,4366.0000,7894.8889,1624.3333
7540.0000,4367.0000,7180.4444,1641.0000
8165.0000,3608.0000,7809.3333,838.1111
7483.0000,4384.0000,7122.4444,1659.2222
8508.0000,4399.0000,8159.0000,1653.5556
6727.0000,3769.0000,6358.2222,1041.7778
6628.7778,7025.6667,6252.0000,4473.0000
5208.4444,6335.2222,4799.0000,3771.0000
6248.8889,7019.4444,5863.0000,4482.0000
6603.7778,7136.7778,6226.0000,4592.0000
6182.3333,6981.1111,5795.0000,4443.0000
6130.7778,7443.8889,5738.0000,4924.0000
7771.7778,7072.4444,7416.0000,4454.0000
7469.4444,7102.8889,7107.0000,4491.0000
1155.0000,3341.3333,696.0000,720.0000
1509.6667,6007.4444,995.0000,3473.0000
3921.0000,4807.0000,3500.0000,2199.0000
9914.3333,3859.5556,9571.2222,1054.2222
10313.4444,6373.7778,9998.0000,3641.0000
9483.0000,5031.0000,9148.5556,2290.7778
9437.0000,6074.0000,9106.0000,3338.3333
8973.0000,4192.0000,8626.5556,1422.0000
9124.0000,4904.0000,8785.2222,2173.4444
9023.0000,5611.0000,8686.1111,2897.2222
8745.0000,4365.0000,8397.5556,1608.7778
8754.0000,4993.0000,8411.7778,2275.7778
8561.0000,5207.0000,8217.5556,2504.0000
8867.0000,5905.0000,8527.7778,3192.6667
8174.0000,6007.0000,7824.3333,3320.8889
7731.0000,5358.0000,7376.3333,2684.5556
7966.0000,5876.0000,7609.8889,3166.5556
7969.0000,5919.0000,7613.1111,3211.2222
7424.0000,4918.0000,7063.3333,2220.8889
7308.0000,5439.0000,6946.7778,2782.1111
7558.0000,5670.0000,7197.3333,2980.5556
7550.0000,6231.0000,7189.1111,3571.0000
6768.0000,4174.0000,6398.7778,1462.5556
6876.0000,5310.0000,6508.0000,2659.0000
6968.0000,5526.0000,6600.7778,2878.7778
6600.0000,4149.0000,6228.8889,1440.7778
6717.0000,5504.0000,6346.0000,2866.6667
6241.0000,4223.0000,5864.5556,1526.7778
6191.0000,4728.0000,5811.5556,2054.2222
6175.0000,5461.0000,5794.1111,2837.5556
6019.0000,5810.0000,5633.4444,3207.8889
6087.0000,6084.0000,5701.2222,3494.8889
5807.0000,4694.0000,5422.1111,2030.3333
5798.0000,5398.0000,5410.0000,2777.5556
5609.0000,5541.0000,5216.4444,2936.4444
4640.0000,5085.0000,4229.0000,2466.4444
4228.0000,4646.0000,3813.5556,2016.1111
4134.0000,5905.0000,3704.6667,3362.0000
3282.0000,4529.0000,2851.4444,1937.3333
3013.0000,4517.0000,2576.2222,1930.2222
2827.0000,4737.0000,2378.5556,2137.3333
2968.0000,6188.0000,2502.7778,3695.3333
2576.0000,5126.0000,2115.6667,2563.2222
2084.0000,4282.0000,1624.7778,1670.5556
1906.0000,4598.0000,1434.0000,1996.4444
2209.0000,5333.0000,1732.5556,2777.5556
